Week,Day,Time_Slot,Subject,Expected_Students,Actual_Students,Reduction_Percent,Is_Lab,Is_Free,Expected_Zone_Level,Actual_Zone_Level,Zone_Action
1,Monday,8:30-10:15,A,70,59,15.71,No,No,4,3,HIGH
1,Monday,10:30-12:15,C,60,55,8.33,No,No,3,3,HIGH
1,Monday,1:10-3:00,F,53,44,16.98,No,No,3,3,HIGH
1,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
1,Tuesday,8:30-10:15,E,60,52,13.33,No,No,3,3,HIGH
1,Tuesday,10:30-12:15,F,53,52,1.89,No,No,3,3,HIGH
1,Tuesday,1:10-3:00,A,70,56,20.0,Yes,No,4,3,HIGH
1,Tuesday,3:30-4:45,A,70,59,15.71,Yes,No,4,3,HIGH
1,Wednesday,8:30-10:15,B,65,55,15.38,No,No,4,3,HIGH
1,Wednesday,10:30-12:15,H,40,39,2.5,No,No,2,2,MEDIUM
1,Wednesday,1:10-3:00,F,53,48,9.43,No,No,3,3,HIGH
1,Wednesday,3:30-4:45,E,60,56,6.67,No,No,3,3,HIGH
1,Thursday,8:30-10:15,C,60,49,18.33,No,No,3,3,HIGH
1,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
1,Thursday,1:10-3:00,H,40,35,12.5,No,No,2,2,MEDIUM
1,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
1,Friday,8:30-10:15,D,39,33,15.38,No,No,2,2,MEDIUM
1,Friday,10:30-12:15,B,65,59,9.23,No,No,4,3,HIGH
1,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
1,Friday,3:30-4:45,Z,70,67,4.29,No,No,4,4,HIGH
2,Monday,8:30-10:15,A,70,62,11.43,No,No,4,4,HIGH
2,Monday,10:30-12:15,C,60,59,1.67,No,No,3,3,HIGH
2,Monday,1:10-3:00,F,53,44,16.98,No,No,3,3,HIGH
2,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
2,Tuesday,8:30-10:15,E,60,52,13.33,No,No,3,3,HIGH
2,Tuesday,10:30-12:15,F,53,45,15.09,No,No,3,3,HIGH
2,Tuesday,1:10-3:00,A,70,65,7.14,Yes,No,4,4,HIGH
2,Tuesday,3:30-4:45,A,70,56,20.0,Yes,No,4,3,HIGH
2,Wednesday,8:30-10:15,B,65,53,18.46,No,No,4,3,HIGH
2,Wednesday,10:30-12:15,H,40,34,15.0,No,No,2,2,MEDIUM
2,Wednesday,1:10-3:00,F,53,51,3.77,No,No,3,3,HIGH
2,Wednesday,3:30-4:45,E,60,54,10.0,No,No,3,3,HIGH
2,Thursday,8:30-10:15,C,60,59,1.67,No,No,3,3,HIGH
2,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
2,Thursday,1:10-3:00,H,40,39,2.5,No,No,2,2,MEDIUM
2,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
2,Friday,8:30-10:15,D,39,34,12.82,No,No,2,2,MEDIUM
2,Friday,10:30-12:15,B,65,55,15.38,No,No,4,3,HIGH
2,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
2,Friday,3:30-4:45,Z,70,56,20.0,No,No,4,3,HIGH
3,Monday,8:30-10:15,A,70,65,7.14,No,No,4,4,HIGH
3,Monday,10:30-12:15,C,60,56,6.67,No,No,3,3,HIGH
3,Monday,1:10-3:00,F,53,48,9.43,No,No,3,3,HIGH
3,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
3,Tuesday,8:30-10:15,E,60,58,3.33,No,No,3,3,HIGH
3,Tuesday,10:30-12:15,F,53,52,1.89,No,No,3,3,HIGH
3,Tuesday,1:10-3:00,A,70,63,10.0,Yes,No,4,4,HIGH
3,Tuesday,3:30-4:45,A,70,67,4.29,Yes,No,4,4,HIGH
3,Wednesday,8:30-10:15,B,65,56,13.85,No,No,4,3,HIGH
3,Wednesday,10:30-12:15,H,40,37,7.5,No,No,2,2,MEDIUM
3,Wednesday,1:10-3:00,F,53,44,16.98,No,No,3,3,HIGH
3,Wednesday,3:30-4:45,E,60,52,13.33,No,No,3,3,HIGH
3,Thursday,8:30-10:15,C,60,56,6.67,No,No,3,3,HIGH
3,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
3,Thursday,1:10-3:00,H,40,33,17.5,No,No,2,2,MEDIUM
3,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
3,Friday,8:30-10:15,D,39,33,15.38,No,No,2,2,MEDIUM
3,Friday,10:30-12:15,B,65,60,7.69,No,No,4,3,HIGH
3,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
3,Friday,3:30-4:45,Z,70,66,5.71,No,No,4,4,HIGH
4,Monday,8:30-10:15,A,70,60,14.29,No,No,4,3,HIGH
4,Monday,10:30-12:15,C,60,58,3.33,No,No,3,3,HIGH
4,Monday,1:10-3:00,F,53,51,3.77,No,No,3,3,HIGH
4,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
4,Tuesday,8:30-10:15,E,60,60,0.0,No,No,3,3,HIGH
4,Tuesday,10:30-12:15,F,53,45,15.09,No,No,3,3,HIGH
4,Tuesday,1:10-3:00,A,70,61,12.86,Yes,No,4,3,HIGH
4,Tuesday,3:30-4:45,A,70,60,14.29,Yes,No,4,3,HIGH
4,Wednesday,8:30-10:15,B,65,55,15.38,No,No,4,3,HIGH
4,Wednesday,10:30-12:15,H,40,36,10.0,No,No,2,2,MEDIUM
4,Wednesday,1:10-3:00,F,53,47,11.32,No,No,3,3,HIGH
4,Wednesday,3:30-4:45,E,60,58,3.33,No,No,3,3,HIGH
4,Thursday,8:30-10:15,C,60,59,1.67,No,No,3,3,HIGH
4,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
4,Thursday,1:10-3:00,H,40,35,12.5,No,No,2,2,MEDIUM
4,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
4,Friday,8:30-10:15,D,39,35,10.26,No,No,2,2,MEDIUM
4,Friday,10:30-12:15,B,65,58,10.77,No,No,4,3,HIGH
4,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
4,Friday,3:30-4:45,Z,70,59,15.71,No,No,4,3,HIGH
5,Monday,8:30-10:15,A,70,61,12.86,No,No,4,3,HIGH
5,Monday,10:30-12:15,C,60,53,11.67,No,No,3,3,HIGH
5,Monday,1:10-3:00,F,53,47,11.32,No,No,3,3,HIGH
5,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
5,Tuesday,8:30-10:15,E,60,56,6.67,No,No,3,3,HIGH
5,Tuesday,10:30-12:15,F,53,53,0.0,No,No,3,3,HIGH
5,Tuesday,1:10-3:00,A,70,64,8.57,Yes,No,4,4,HIGH
5,Tuesday,3:30-4:45,A,70,67,4.29,Yes,No,4,4,HIGH
5,Wednesday,8:30-10:15,B,65,60,7.69,No,No,4,3,HIGH
5,Wednesday,10:30-12:15,H,40,33,17.5,No,No,2,2,MEDIUM
5,Wednesday,1:10-3:00,F,53,51,3.77,No,No,3,3,HIGH
5,Wednesday,3:30-4:45,E,60,59,1.67,No,No,3,3,HIGH
5,Thursday,8:30-10:15,C,60,57,5.0,No,No,3,3,HIGH
5,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
5,Thursday,1:10-3:00,H,40,38,5.0,No,No,2,2,MEDIUM
5,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
5,Friday,8:30-10:15,D,39,34,12.82,No,No,2,2,MEDIUM
5,Friday,10:30-12:15,B,65,58,10.77,No,No,4,3,HIGH
5,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
5,Friday,3:30-4:45,Z,70,59,15.71,No,No,4,3,HIGH
6,Monday,8:30-10:15,A,70,61,12.86,No,No,4,3,HIGH
6,Monday,10:30-12:15,C,60,55,8.33,No,No,3,3,HIGH
6,Monday,1:10-3:00,F,53,44,16.98,No,No,3,3,HIGH
6,Monday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
6,Tuesday,8:30-10:15,E,60,58,3.33,No,No,3,3,HIGH
6,Tuesday,10:30-12:15,F,53,53,0.0,No,No,3,3,HIGH
6,Tuesday,1:10-3:00,A,70,69,1.43,Yes,No,4,4,HIGH
6,Tuesday,3:30-4:45,A,70,60,14.29,Yes,No,4,3,HIGH
6,Wednesday,8:30-10:15,B,65,59,9.23,No,No,4,3,HIGH
6,Wednesday,10:30-12:15,H,40,39,2.5,No,No,2,2,MEDIUM
6,Wednesday,1:10-3:00,F,53,48,9.43,No,No,3,3,HIGH
6,Wednesday,3:30-4:45,E,60,58,3.33,No,No,3,3,HIGH
6,Thursday,8:30-10:15,C,60,52,13.33,No,No,3,3,HIGH
6,Thursday,10:30-12:15,X,0,0,0.0,No,Yes,0,0,OFF
6,Thursday,1:10-3:00,H,40,36,10.0,No,No,2,2,MEDIUM
6,Thursday,3:30-4:45,X,0,0,0.0,No,Yes,0,0,OFF
6,Friday,8:30-10:15,D,39,36,7.69,No,No,2,2,MEDIUM
6,Friday,10:30-12:15,B,65,61,6.15,No,No,4,3,HIGH
6,Friday,1:10-3:00,X,0,0,0.0,No,Yes,0,0,OFF
6,Friday,3:30-4:45,Z,70,61,12.86,No,No,4,3,HIGH
7,Monday,8:30-10:15,A,70,65,7.14,No,No,4,4,HIGH
